n,matcher_time,verifier_time
1,0.1942259000003105,0.0518039199989289
2,0.13254546000098344,0.04351029999961611
4,0.11938518000242766,0.04259196000057273
8,0.10555535999592394,0.03467122000147356
16,0.11360232000006362,0.05945036000048276
32,0.11686546000273665,0.03958648000116227
64,0.1166929800005164,0.044416759999876376
128,0.12785109999967972,0.052455499999632595
256,0.16275479999749223,0.044041520000610034
512,0.29497408000170255,0.0407056999989436
